Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
DJIA Consolidated - CHICAGO BOARD OF TRADE,230117,1/17/2023,12460+,CBT ,00,124 ,41330,7566,9885,774,9419,3873,573,14607,5766,1434,126,11355,6,34503,33665,6827,7666,2516,25,648,316,-188,670,106,979,1056,474,126,-518,2,1837,2751,679,-235,100,18.3,23.9,1.9,22.8,9.4,1.4,35.3,14,3.5,0.3,27.5,0,83.5,81.5,16.5,18.5,90,8,15,4,17,7,4,16,19,8,,7,,51,56,35.4,37.3,50.3,49.3,35.2,36.9,48.5,47.5,($10 X DJIA INDEX),F20,FutOnly
DJIA Consolidated - CHICAGO BOARD OF TRADE,230110,1/10/2023,12460+,CBT ,00,124 ,38814,7542,9237,459,9607,3203,467,13628,4711,961,0,11873,4,32666,30914,6148,7901,-1052,-629,334,-134,337,-633,55,-309,-112,-749,0,131,0,-1429,-1108,378,56,100,19.4,23.8,1.2,24.8,8.3,1.2,35.1,12.1,2.5,0,30.6,0,84.2,79.6,15.8,20.4,87,10,12,4,20,8,,18,13,9,0,6,,55,48,35.8,42.1,50.4,53.7,35.4,42.1,48.4,53.2,($10 X DJIA INDEX),F20,FutOnly
DJIA Consolidated - CHICAGO BOARD OF TRADE,230103,1/3/2023,12460+,CBT ,00,124 ,39866,8171,8903,592,9271,3836,413,13936,4822,1710,0,11742,4,34095,32021,5771,7845,2391,153,-210,223,256,222,-128,1307,756,1386,-225,104,3,2975,2357,-584,34,100,20.5,22.3,1.5,23.3,9.6,1,35,12.1,4.3,0,29.5,0,85.5,80.3,14.5,19.7,87,10,10,4,19,7,,19,16,8,0,6,,57,46,35.1,40.8,48.7,55.7,34,40.8,46.7,53.9,($10 X DJIA INDEX),F20,FutOnly
DJIA x $5 - CHICAGO BOARD OF TRADE,230228,2/28/2023,124603,CBT ,00,124 ,89912,27679,19973,1641,16340,9765,610,25091,18402,3666,202,19775,25,75254,73857,14658,16055,-1376,1725,1895,-6,-349,-5125,-176,-1916,229,-648,-771,1642,25,-2116,-2164,740,788,100,30.8,22.2,1.8,18.2,10.9,0.7,27.9,20.5,4.1,0.2,22,0,83.7,82.1,16.3,17.9,88,12,11,4,16,8,,14,21,9,,5,,52,53,42.2,38.6,53.1,52.9,42,38.1,52.4,50,($5 X DJIA INDEX),F20,FutOnly
DJIA x $5 - CHICAGO BOARD OF TRADE,230221,2/21/2023,124603,CBT ,00,124 ,91288,25954,18078,1647,16689,14890,786,27007,18173,4314,973,18133,0,77370,76021,13918,15267,3838,1432,-2936,226,-1903,5399,-57,2406,2467,462,87,-870,0,2653,4691,1185,-853,100,28.4,19.8,1.8,18.3,16.3,0.9,29.6,19.9,4.7,1.1,19.9,0,84.8,83.3,15.2,16.7,91,12,10,4,16,9,,16,22,14,,,0,58,53,42.7,40.4,56,52.1,42.1,39.9,54.2,51.2,($5 X DJIA INDEX),F20,FutOnly
DJIA x $5 - CHICAGO BOARD OF TRADE,230214,2/14/2023,124603,CBT ,00,124 ,87450,24522,21014,1421,18592,9491,843,24601,15706,3852,886,19003,0,74717,71330,12733,16120,1151,92,-873,-10,-351,97,-17,837,823,105,-108,-893,0,548,-768,603,1919,100,28,24,1.6,21.3,10.9,1,28.1,18,4.4,1,21.7,0,85.4,81.6,14.6,18.4,88,11,14,4,16,8,4,13,17,12,,6,0,54,54,43.3,36.5,56.8,49.1,43,35.3,54.9,48,($5 X DJIA INDEX),F20,FutOnly
DJIA x $5 - CHICAGO BOARD OF TRADE,230207,2/7/2023,124603,CBT ,00,124 ,86299,24430,21887,1431,18943,9394,860,23764,14883,3747,994,19896,0,74169,72098,12130,14201,5913,4676,4624,12,2021,1648,-188,668,1148,361,-221,302,0,7329,7907,-1416,-1994,100,28.3,25.4,1.7,22,10.9,1,27.5,17.2,4.3,1.2,23.1,0,85.9,83.5,14.1,16.5,101,11,17,4,17,8,4,18,21,10,,8,0,55,64,40.3,35.8,53.4,50.7,40,34.4,52,48,($5 X DJIA INDEX),F20,FutOnly
DJIA x $5 - CHICAGO BOARD OF TRADE,230131,1/31/2023,124603,CBT ,00,124 ,80386,19754,17263,1419,16922,7746,1048,23096,13735,3386,1215,19594,0,66840,64191,13546,16195,2734,1689,1311,144,-878,1777,316,513,1611,383,925,-2838,-11,3081,2693,-347,41,100,24.6,21.5,1.8,21.1,9.6,1.3,28.7,17.1,4.2,1.5,24.4,0,83.1,79.9,16.9,20.1,89,9,15,4,15,9,,17,15,10,,7,0,51,55,36.3,34.5,51.5,49.4,35.9,33.8,49.7,46.7,($5 X DJIA INDEX),F20,FutOnly
DJIA x $5 - CHICAGO BOARD OF TRADE,230124,1/24/2023,124603,CBT ,00,124 ,77652,18065,15952,1275,17800,5969,732,22583,12124,3003,290,22432,11,63759,61498,13893,16154,-5008,2933,-3817,-273,-1038,-1777,-413,-6630,592,135,39,-278,0,-5247,-5831,239,823,100,23.3,20.5,1.6,22.9,7.7,0.9,29.1,15.6,3.9,0.4,28.9,0,82.1,79.2,17.9,20.8,89,8,13,4,17,8,,18,16,7,,8,,49,55,37.9,35.9,53.2,49.4,37.5,34.8,51,47.1,($5 X DJIA INDEX),F20,FutOnly
DJIA x $5 - CHICAGO BOARD OF TRADE,230117,1/17/2023,124603,CBT ,00,124 ,82660,15132,19769,1548,18838,7746,1145,29213,11532,2868,251,22710,11,69006,67329,13654,15331,5032,49,1295,631,-376,1340,211,1958,2111,947,251,-1036,3,3674,5502,1358,-470,100,18.3,23.9,1.9,22.8,9.4,1.4,35.3,14,3.5,0.3,27.5,0,83.5,81.5,16.5,18.5,90,8,15,4,17,7,4,16,19,8,,7,,51,56,35.4,37.3,50.3,49.3,35.2,36.9,48.5,47.5,($5 X DJIA INDEX),F20,FutOnly
DJIA x $5 - CHICAGO BOARD OF TRADE,230110,1/10/2023,124603,CBT ,00,124 ,77628,15083,18474,917,19214,6406,934,27255,9421,1921,0,23746,8,65332,61827,12296,15801,-2103,-1258,668,-267,673,-1266,109,-617,-223,-1498,0,262,0,-2858,-2215,755,112,100,19.4,23.8,1.2,24.8,8.3,1.2,35.1,12.1,2.5,0,30.6,0,84.2,79.6,15.8,20.4,87,10,12,4,20,8,,18,13,9,0,6,,55,48,35.8,42.1,50.4,53.7,35.4,42.1,48.4,53.2,($5 X DJIA INDEX),F20,FutOnly
DJIA x $5 - CHICAGO BOARD OF TRADE,230103,1/3/2023,124603,CBT ,00,124 ,79731,16341,17806,1184,18541,7672,825,27872,9644,3419,0,23484,8,68190,64042,11541,15689,4781,305,-420,446,511,444,-255,2614,1512,2772,-450,208,6,5949,4713,-1168,68,100,20.5,22.3,1.5,23.3,9.6,1,35,12.1,4.3,0,29.5,0,85.5,80.3,14.5,19.7,87,10,10,4,19,7,,19,16,8,0,6,,57,46,35.1,40.8,48.7,55.7,34,40.8,46.7,53.9,($5 X DJIA INDEX),F20,FutOnly
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,230228,2/28/2023,124606,CBT ,00,124 ,45135,18709,37828,0,19284,1604,1701,3093,2856,145,0,0,0,42932,44134,2203,1001,560,1390,-43,0,-171,851,68,-619,-573,145,0,0,0,813,448,-253,112,100,41.5,83.8,0,42.7,3.6,3.8,6.9,6.3,0.3,0,0,0,95.1,97.8,4.9,2.2,34,5,5,0,16,,,4,,,0,0,0,26,12,49.3,83.2,68.3,95.4,48.8,83.2,66,93.1,($100 X DJ US REAL ESTATE INDEX),F20,FutOnly
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,230221,2/21/2023,124606,CBT ,00,124 ,44575,17319,37871,0,19455,753,1633,3712,3429,0,0,0,0,42119,43686,2456,889,-74,-1165,112,0,1398,-11,-7,-45,-215,0,0,0,0,181,-121,-255,47,100,38.9,85,0,43.6,1.7,3.7,8.3,7.7,0,0,0,0,94.5,98,5.5,2,32,5,5,0,15,,,,,0,0,0,0,24,11,51.3,85,69.9,96.4,50.1,85,67.7,93.9,($100 X DJ US REAL ESTATE INDEX),F20,FutOnly
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,230214,2/14/2023,124606,CBT ,00,124 ,44649,18484,37759,0,18057,764,1640,3757,3644,0,0,0,0,41938,43807,2711,842,-1102,-477,-1184,0,-246,645,-645,207,11,0,0,0,0,-1161,-1173,59,71,100,41.4,84.6,0,40.4,1.7,3.7,8.4,8.2,0,0,0,0,93.9,98.1,6.1,1.9,31,5,4,0,15,,,,,0,0,0,0,24,10,51.7,85,69.7,96.7,50,85,67.4,94.4,($100 X DJ US REAL ESTATE INDEX),F20,FutOnly
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,230207,2/7/2023,124606,CBT ,00,124 ,45751,18961,38943,0,18303,119,2285,3550,3633,0,0,0,0,43099,44980,2652,771,-2231,2728,6077,0,1259,-8725,176,400,517,0,0,0,0,4563,-1955,-6794,-276,100,41.4,85.1,0,40,0.3,5,7.8,7.9,0,0,0,0,94.2,98.3,5.8,1.7,31,5,4,0,15,,,,,0,0,0,0,24,10,50,85.7,68.3,97.1,48.5,85.7,66.1,93.3,($100 X DJ US REAL ESTATE INDEX),F20,FutOnly
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,230131,1/31/2023,124606,CBT ,00,124 ,47982,16233,32866,0,17044,8844,2109,3150,3116,0,0,0,0,38536,46935,9446,1047,3831,-27,4188,0,-2513,-6,-267,-186,-195,0,0,0,0,-2993,3720,6824,111,100,33.8,68.5,0,35.5,18.4,4.4,6.6,6.5,0,0,0,0,80.3,97.8,19.7,2.2,31,4,5,0,16,,,,,0,0,0,0,24,10,45.3,77.8,61.1,96.4,43.7,75.5,59,93.4,($100 X DJ US REAL ESTATE INDEX),F20,FutOnly
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,230124,1/24/2023,124606,CBT ,00,124 ,44151,16260,28678,0,19557,8850,2376,3336,3311,0,0,0,0,41529,43215,2622,936,-1505,218,-1335,0,-1539,-33,30,20,-348,0,0,0,0,-1271,-1686,-234,181,100,36.8,65,0,44.3,20,5.4,7.6,7.5,0,0,0,0,94.1,97.9,5.9,2.1,32,,6,0,18,,,,,0,0,0,0,24,11,51.7,79.7,70.9,95,50.7,77.2,68,91.5,($100 X DJ US REAL ESTATE INDEX),F20,FutOnly
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,230117,1/17/2023,124606,CBT ,00,124 ,45656,16042,30013,0,21096,8883,2346,3316,3659,0,0,0,0,42800,44901,2856,755,-2264,-133,-713,0,-2525,-77,29,-109,-1279,0,0,0,0,-2738,-2040,474,-224,100,35.1,65.7,0,46.2,19.5,5.1,7.3,8,0,0,0,0,93.7,98.3,6.3,1.7,32,,6,0,18,,,,,0,0,0,0,24,11,49.8,75.6,68.6,95.6,49.5,73.2,65.8,92.3,($100 X DJ US REAL ESTATE INDEX),F20,FutOnly
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,230110,1/10/2023,124606,CBT ,00,124 ,47920,16175,30726,0,23621,8960,2317,3425,4938,0,0,0,0,45538,46941,2382,979,-2066,-1283,-2184,0,-1226,607,113,110,-482,0,0,0,0,-2286,-1946,220,-120,100,33.8,64.1,0,49.3,18.7,4.8,7.1,10.3,0,0,0,0,95,98,5,2,33,,6,0,18,,,,,0,0,0,0,24,12,49.4,72.7,68,94.6,49.2,70.6,65.4,91.5,($100 X DJ US REAL ESTATE INDEX),F20,FutOnly
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,230103,1/3/2023,124606,CBT ,00,124 ,49986,17458,32910,0,24847,8353,2204,3315,5420,0,0,0,0,47824,48887,2162,1099,5574,6404,5367,0,-1558,-922,220,710,815,-2,0,0,0,5774,5478,-200,96,100,34.9,65.8,0,49.7,16.7,4.4,6.6,10.8,0,0,0,0,95.7,97.8,4.3,2.2,33,,6,0,18,,,,,0,0,0,0,24,12,47.5,72.9,67.8,94.1,47.4,71.1,65.3,91.4,($100 X DJ US REAL ESTATE INDEX),F20,FutOnly
MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,230228,2/28/2023,124608,CBT ,00,124 ,22169,343,228,0,271,0,0,6228,5987,335,0,3025,100,7277,9675,14892,12494,-348,-407,0,0,0,0,0,-1052,-927,208,-465,-137,0,-1716,-856,1368,508,100,1.5,1,0,1.2,0,0,28.1,27,1.5,0,13.6,0.5,32.8,43.6,67.2,56.4,20,,,0,,0,0,5,8,4,0,4,,11,14,25.9,31.8,32.3,38.4,25.8,30.3,30.9,37,($0.5 X DJIA INDEX),F20,FutOnly
MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,230221,2/21/2023,124608,CBT ,00,124 ,22517,750,228,0,271,0,0,7280,6914,127,465,3162,100,8993,10531,13524,11986,,,,,,,,,,,,,,,,,,100,3.3,1,0,1.2,0,0,32.3,30.7,0.6,2.1,14,0.4,39.9,46.8,60.1,53.2,21,,,0,,0,0,5,5,5,,5,,13,14,30.4,37.2,37.6,43.4,29.9,37.1,37.1,43.4,($0.5 X DJIA INDEX),F20,FutOnly
MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,230131,1/31/2023,124608,CBT ,00,124 ,22201,1311,223,0,1246,0,0,7703,1219,3224,0,2146,100,13584,6912,8617,15289,420,530,0,0,0,0,0,93,-523,361,0,440,0,984,278,-564,142,100,5.9,1,0,5.6,0,0,34.7,5.5,14.5,0,9.7,0.5,61.2,31.1,38.8,68.9,21,,,0,,0,0,5,4,,0,6,,11,13,47.6,21.8,58.3,27.1,33.1,8.9,43.8,13.7,($0.5 X DJIA INDEX),F20,FutOnly
MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,230124,1/24/2023,124608,CBT ,00,124 ,21781,781,223,0,1246,0,0,7610,1742,2863,0,1706,100,12600,6634,9181,15147,-640,502,-233,0,271,0,0,-2116,450,110,-271,186,0,-1504,513,864,-1153,100,3.6,1,0,5.7,0,0,34.9,8,13.1,0,7.8,0.5,57.8,30.5,42.2,69.5,22,,,0,,0,0,7,4,4,0,6,,12,15,42.8,18.8,52.9,25,31.1,8.8,41.2,14.3,($0.5 X DJIA INDEX),F20,FutOnly
MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,230117,1/17/2023,124608,CBT ,00,124 ,22421,279,456,0,975,0,0,9726,1292,2753,271,1520,100,14104,6121,8317,16300,266,-103,17,0,317,0,-317,-2574,30,820,0,15,0,-1857,565,2123,-299,100,1.2,2,0,4.3,0,0,43.4,5.8,12.3,1.2,6.8,0.4,62.9,27.3,37.1,72.7,20,,,0,,0,0,6,,5,,6,,11,15,50.9,17.5,61.1,22.7,39.2,7.3,49,12.1,($0.5 X DJIA INDEX),F20,FutOnly
MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,230110,1/10/2023,124608,CBT ,00,124 ,22155,382,439,0,658,0,317,12300,1262,1933,271,1505,100,15961,5556,6194,16599,,,,,,,,,,,,,,,,,,100,1.7,2,0,3,0,1.4,55.5,5.7,8.7,1.2,6.8,0.5,72,25.1,28,74.9,21,,,0,,0,,7,,,,6,,11,15,60.6,14.7,69.3,20,51.9,7.5,59.1,12.1,($0.5 X DJIA INDEX),F20,FutOnly
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,13874+,CME ,00,138 ,422632,60312,81789,9884,191203,91594,47626,33688,93472,9924,18327,36480,1821,372785,372590,49847,50042,7735,3610,4743,-160,-336,9072,-257,4902,-6277,289,-253,1562,423,8219,9396,-484,-1662,100,14.3,19.4,2.3,45.2,21.7,11.3,8,22.1,2.3,4.3,8.6,0.4,88.2,88.2,11.8,11.8,531,28,31,20,138,98,110,73,100,73,31,31,10,375,369,15.9,17.7,22.9,24.9,13.9,16,20.8,22.3,(S&P 500 INDEX X $250.00),F20,FutOnly
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,13874+,CME ,00,138 ,414897,56701,77046,10044,191539,82522,47882,28786,99749,9635,18580,34918,1399,364566,363194,50331,51703,-372,-1032,687,-403,69,4038,-563,2976,-8738,866,-1168,4422,310,1055,619,-1427,-991,100,13.7,18.6,2.4,46.2,19.9,11.5,6.9,24,2.3,4.5,8.4,0.3,87.9,87.5,12.1,12.5,528,29,31,18,145,95,113,62,112,61,29,25,8,361,367,16.2,16,22.4,24.2,14.4,15,20.6,21.9,(S&P 500 INDEX X $250.00),F20,FutOnly
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,13874+,CME ,00,138 ,415269,57734,76359,10447,191470,78483,48445,25810,108487,8769,19748,30496,1089,363511,362575,51758,52694,4652,3493,-4500,1201,2700,2408,-1740,-1596,2617,-153,-1734,869,-115,2056,586,2596,4066,100,13.9,18.4,2.5,46.1,18.9,11.7,6.2,26.1,2.1,4.8,7.3,0.3,87.5,87.3,12.5,12.7,525,31,31,21,148,94,112,68,99,58,31,23,6,366,356,16.1,17.9,22.1,26.8,14.1,16.6,19.9,24.7,(S&P 500 INDEX X $250.00),F20,FutOnly
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,13874+,CME ,00,138 ,410617,54240,80859,9246,188770,76075,50185,27405,105871,8922,21482,29627,1204,361455,361989,49162,48628,-1667,3415,1838,-1034,-1046,1049,-1058,-1474,-2261,1189,-1040,2269,-655,-1703,1337,36,-3003,100,13.2,19.7,2.3,46,18.5,12.2,6.7,25.8,2.2,5.2,7.2,0.3,88,88.2,12,11.8,521,30,31,18,143,97,109,70,95,59,35,20,5,363,349,15.7,18.3,22,26.9,13.7,17.2,19.7,25.3,(S&P 500 INDEX X $250.00),F20,FutOnly
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,13874+,CME ,00,138 ,412284,50825,79021,10281,189817,75027,51243,28879,108131,7733,22522,27358,1858,363158,360652,49126,51631,7396,2919,6527,660,-1665,-10205,2771,648,4866,-614,1948,-1089,429,7095,3344,301,4052,100,12.3,19.2,2.5,46,18.2,12.4,7,26.2,1.9,5.5,6.6,0.5,88.1,87.5,11.9,12.5,521,28,34,23,146,93,110,63,99,55,33,25,4,363,350,15.5,18,22,26.4,13.6,17.1,19.9,25,(S&P 500 INDEX X $250.00),F20,FutOnly
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,13874+,CME ,00,138 ,404887,47906,72494,9621,191482,85232,48472,28231,103266,8347,20575,28448,1429,356063,357308,48824,47579,-6407,-5065,-2343,1236,-3307,-3703,-28,95,-2119,681,-1786,216,-85,-8258,-6144,1851,-263,100,11.8,17.9,2.4,47.3,21.1,12,7,25.5,2.1,5.1,7,0.4,87.9,88.2,12.1,11.8,533,28,35,26,145,103,113,64,98,57,32,28,8,373,364,15.8,15.9,22.4,24.3,14.1,15.1,20.4,22.8,(S&P 500 INDEX X $250.00),F20,FutOnly
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,13874+,CME ,00,138 ,411294,52971,74837,8384,194790,88935,48499,28136,105385,7666,22361,28232,1514,364321,363452,46973,47842,4781,4551,3595,-50,5067,-8169,-153,-1919,12264,-384,-1992,-4900,76,5197,2280,-416,2501,100,12.9,18.2,2,47.4,21.6,11.8,6.8,25.6,1.9,5.4,6.9,0.4,88.6,88.4,11.4,11.6,534,29,35,24,150,100,109,61,97,51,35,27,7,373,352,16.6,14.5,23.6,23,14.9,13.8,21.9,22,(S&P 500 INDEX X $250.00),F20,FutOnly
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,13874+,CME ,00,138 ,406513,48420,71242,8434,189722,97104,48652,30055,93120,8050,24353,33132,1438,359124,361172,47389,45341,4314,5252,4988,83,875,-4451,-1295,-1031,6791,600,-937,-1270,-53,3495,5394,819,-1080,100,11.9,17.5,2.1,46.7,23.9,12,7.4,22.9,2,6,8.2,0.4,88.3,88.8,11.7,11.2,528,27,34,22,141,108,112,61,100,51,32,25,4,361,356,16,13.8,23.1,22.4,14.2,13,21.1,21.2,(S&P 500 INDEX X $250.00),F20,FutOnly
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,13874+,CME ,00,138 ,402199,43168,66255,8351,188847,101555,49946,31086,86329,7449,25289,34402,1491,355629,355778,46571,46421,9937,4647,-3417,234,-2087,-123,1117,2502,8390,-1632,3263,4566,297,8342,9433,1595,505,100,10.7,16.5,2.1,47,25.2,12.4,7.7,21.5,1.9,6.3,8.6,0.4,88.4,88.5,11.6,11.5,530,32,30,21,142,107,114,57,102,50,32,27,7,361,361,15.7,11.4,22.2,19.1,13.7,10.8,19.9,17.7,(S&P 500 INDEX X $250.00),F20,FutOnly
E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,138748,CME ,00,138 ,15417,9272,10338,3,3594,2557,0,1102,965,0,0,0,0,13971,13863,1446,1554,-353,-305,2631,-10,214,-1908,0,-11,-517,0,0,0,0,-112,196,-241,-549,100,60.1,67.1,0,23.3,16.6,0,7.1,6.3,0,0,0,0,90.6,89.9,9.4,10.1,20,,7,,,,0,,,0,0,0,0,7,14,84.5,55.3,90.6,76.5,84.5,55.3,90.6,76.5,($100 x S&P Select Sector Consumer Staples Index price),F20,FutOnly
E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,138748,CME ,00,138 ,15770,9577,7707,13,3380,4465,0,1113,1482,0,0,0,0,14083,13667,1687,2103,679,-36,403,0,1017,-479,0,0,594,0,0,0,0,981,518,-302,161,100,60.7,48.9,0.1,21.4,28.3,0,7.1,9.4,0,0,0,0,89.3,86.7,10.7,13.3,22,4,5,,,5,0,,4,0,0,0,0,8,15,81.5,45.3,89.3,69.8,81.5,45.3,89.2,69.8,($100 x S&P Select Sector Consumer Staples Index price),F20,FutOnly
E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,138748,CME ,00,138 ,15091,9613,7304,13,2363,4944,0,1113,888,0,0,0,0,13102,13149,1989,1942,,,,,,,,,,,,,,,,,,100,63.7,48.4,0.1,15.7,32.8,0,7.4,5.9,0,0,0,0,86.8,87.1,13.2,12.9,21,4,6,,,5,0,,,0,0,0,0,7,15,79.3,48.3,86.8,72.9,79.3,48.3,86.7,72.9,($100 x S&P Select Sector Consumer Staples Index price),F20,FutOnly
E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,138748,CME ,00,138 ,15378,6524,5211,19,5757,7335,0,1238,817,0,0,0,0,13538,13382,1840,1996,,,,,,,,,,,,,,,,,,100,42.4,33.9,0.1,37.4,47.7,0,8.1,5.3,0,0,0,0,88,87,12,13,21,4,4,,,4,0,,,0,0,0,0,10,12,70.2,54.7,84.5,81.6,70.2,54.7,84.5,81.6,($100 x S&P Select Sector Consumer Staples Index price),F20,FutOnly
E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,138748,CME ,00,138 ,14431,0,6923,0,10729,5393,0,1935,272,0,0,0,0,12664,12588,1767,1843,,,,,,,,,,,,,,,,,,100,0,48,0,74.3,37.4,0,13.4,1.9,0,0,0,0,87.8,87.2,12.2,12.8,21,0,6,0,6,4,0,4,,0,0,0,0,10,11,72.7,51.5,84.6,79.3,72.7,51.5,84.6,79.3,($100 x S&P Select Sector Consumer Staples Index price),F20,FutOnly
E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,138749,CME ,00,138 ,24461,3798,21162,0,12570,619,0,2729,909,0,0,0,0,19097,22690,5364,1771,-831,-854,-806,0,-572,-76,0,-481,10,0,0,0,0,-1907,-872,1076,41,100,15.5,86.5,0,51.4,2.5,0,11.2,3.7,0,0,0,0,78.1,92.8,21.9,7.2,31,,6,0,13,,0,4,,0,0,0,0,20,11,45.6,81.4,60.5,89.6,45.6,81.4,60.5,89.6,($100 x S&P Select Sector Energy Index price),F20,FutOnly
E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,138749,CME ,00,138 ,25292,4652,21968,0,13142,695,0,3210,899,0,0,0,0,21004,23562,4288,1730,-18,-108,15,0,465,0,0,-102,-369,0,0,0,0,255,-354,-273,336,100,18.4,86.9,0,52,2.7,0,12.7,3.6,0,0,0,0,83,93.2,17,6.8,28,,5,0,12,,0,4,,0,0,0,0,19,9,44.7,80.4,66.6,91.8,44.7,80.4,66.6,91.8,($100 x S&P Select Sector Energy Index price),F20,FutOnly
